distance_m,signal_mean_pct,rx_link_rate_mean,rtt_mean_ms,jitter_ms,packet_loss_pct,throughput_down_mbps
5,89.66666667,144.4,3.0,3.444444444,0.0,82.63002817
15,34.0,1.0,576.7,375.1111111,0.0,0.0
5,90.0,144.4,2.444444444,2.25,10.0,74.42451453
15,36.0,1.0,21.2,27.44444444,0.0,0.0
1,84.0,866.7,6.2,8.222222222,0.0,94.57084978
5,90.0,144.4,3.75,3.571428571,20.0,41.16385535
15,24.25,1.0,278.9,416.0,0.0,0.104768714
5,85.0,144.4,3.3,4.888888889,0.0,66.73033018
15,33.75,1.0,549.0,537.4444444,0.0,0.104726995
15,33.5,1.0,65.0,108.7777778,0.0,0.0
5,90.0,144.4,2.444444444,2.625,10.0,88.91090992
5,89.0,144.4,1.1,0.222222222,0.0,81.18219948
5,92.0,144.4,3.8,3.555555556,0.0,82.86768952
1,79.83333333,866.7,1.888888889,1.0,10.0,94.57405882
15,33.0,1.0,1248.7,629.3333333,0.0,0.0
15,29.0,1.0,727.6666667,508.75,10.0,0.0
1,84.23076923,866.7,1.6,1.222222222,0.0,94.5912729
1,84.23076923,866.7,1.888888889,2.0,10.0,94.08223017
1,82.0,866.7,3.111111111,2.875,10.0,94.660561
15,33.0,1.0,140.4444444,111.625,10.0,0.104760079
5,90.0,144.4,3.7,3.444444444,0.0,54.1429966
1,82.0,866.7,2.8,3.888888889,0.0,94.69858889
15,37.0,1.791666667,391.8,281.7777778,0.0,0.104760079
5,84.75,144.4,3.3,4.222222222,0.0,32.38331711
5,89.0,144.4,3.333333333,4.25,10.0,86.82265902
5,89.75,144.4,1.1,0.222222222,0.0,77.66750589
15,30.0,1.0,167.8,179.8888889,0.0,0.104811483
1,84.5,866.7,1.2,0.222222222,0.0,90.67155783
5,89.66666667,144.4,1.5,0.777777778,0.0,82.53693215
15,31.5,1.0,1179.333333,1120.625,0.0,0.0
1,84.08333333,866.7,1.0,0.0,0.0,93.0708758
1,80.0,866.7,2.5,3.333333333,0.0,94.67335734
15,39.0,1.5,116.7,187.1111111,0.0,0.0
1,84.91666667,866.7,1.6,1.111111111,0.0,86.69179983
15,24.25,1.0,297.0,295.1111111,0.0,0.0
1,84.08333333,866.7,1.0,0.0,0.0,92.77659977
5,90.0,144.4,3.7,4.0,0.0,53.75781259
1,80.0,866.7,2.666666667,1.75,10.0,94.67287251
15,30.5,1.0,338.2,333.4444444,0.0,0.104847923
1,80.5,866.7,3.1,3.666666667,0.0,94.54324628
1,83.0,866.7,1.222222222,0.5,10.0,94.73710919
15,34.75,1.0,336.2,379.4444444,0.0,0.0
1,83.16666667,866.7,1.2,0.444444444,0.0,94.84069361
5,90.0,144.4,2.2,2.333333333,0.0,85.28264513
15,24.0,1.0,143.4,82.66666667,0.0,0.104833415
1,84.25,866.7,1.5,0.888888889,0.0,94.7813847
5,90.0,144.4,2.1,2.222222222,0.0,81.85758817
1,84.07692308,866.7,1.0,0.0,0.0,90.77625535
1,84.0,866.7,1.0,0.0,0.0,93.75272112
1,83.0,866.7,1.2,0.444444444,0.0,94.59551597
15,31.75,1.0,136.7392898746224,132.91387778843358,1.9230769230769231,0.0
1,84.0,866.7,1.0,0.0,0.0,94.62560639
15,28.5,1.0,272.7777778,269.75,10.0,0.0
5,90.0,144.4,2.4,2.333333333,0.0,92.42510325
5,91.25,144.4,2.4,1.888888889,0.0,91.97810867
1,84.15384615,866.7,1.1,0.222222222,0.0,92.68347385
1,84.0,866.7,3.1,4.555555556,0.0,94.655451
15,24.75,1.0,378.3,594.4444444,0.0,0.104699713
1,80.0,866.7,1.0,0.0,0.0,94.47951732
1,84.53846154,866.7,1.2,0.222222222,0.0,92.64622956
5,84.41666667,144.4,5.4,3.777777778,0.0,27.76586207
1,79.41666667,866.7,1.1,0.222222222,0.0,94.40261043
15,35.25,1.0,136.7392898746224,132.91387778843358,1.9230769230769231,0.0
1,84.08333333,866.7,14.9,17.55555556,0.0,93.20892461
5,89.91666667,144.4,2.6,2.888888889,0.0,91.98356734
5,90.0,144.4,2.1,2.111111111,0.0,72.93411695
5,90.0,144.4,1.2,0.444444444,0.0,92.75424063
5,90.0,144.4,1.666666667,1.0,10.0,92.14838747
1,84.16666667,866.7,1.0,0.0,0.0,93.44461797
1,80.0,866.7,1.8,0.888888889,0.0,94.36514951
1,83.66666667,866.7,1.1,0.222222222,0.0,90.24175774
5,89.83333333,144.4,2.0,1.444444444,0.0,83.43772174
5,85.75,144.4,1.6,0.666666667,0.0,74.66408344
1,80.0,866.7,1.0,0.0,10.0,94.34447067
1,84.25,866.7,1.0,0.0,0.0,94.13811673
1,83.0,866.7,2.5,2.333333333,0.0,92.19998757
5,89.33333333,144.4,3.222222222,4.625,10.0,84.02930281
5,90.0,144.4,1.3,0.444444444,0.0,79.93211584
1,84.61538462,866.7,1.0,0.0,0.0,92.9982475
1,84.23076923,866.7,1.2,0.444444444,0.0,93.2686552
